project,sha,author,commit_date,is_bug
'testproject','9289ed6f25015909624fc27532dd4505518bb9c3','Kevin Sawicki','2014-02-20','False'
'testproject','d6ba3f9fe2d88967f56e9939d8df7547127416df','Artur Termenji','2013-10-29','False'
'testproject','1487338611d0b680422f6822a10b6669dde1901b','Artur Termenji','2013-11-05','True'
'testproject','be3938220dc0d02cac4266b21d2a22e3b06aa022','Artur Termenji','2013-11-05','True'
'testproject','3fada4d38160019fd1de6aa3ecad83b3246312fa','Artur Termenji','2013-11-04','False'
'testproject','9a3a86703726f0ac866ef47a9655c15a47674f3f','Artur Termenji','2013-11-02','False'
'testproject','f5db7f21ea6f93746a159f1142c934eddf0056cb','Artur Termenji','2013-11-02','False'
'testproject','941a39180d5c06cc8bf234c60cd6ec04e166e9a2','Jonathan Maltz','2013-10-31','True'
'testproject','43922d4b4cebcd513343ed0520af6a6cfbf53a89','Artur Termenji','2013-11-01','False'
'testproject','2cb52353538b4c2e4abe7db34f82bd7a02dcae81','Artur Termenji','2013-11-01','False'
'testproject','00a943e076e6ea02d6101d260c942f685872b16c','Artur Termenji','2013-11-01','False'
'testproject','4bfddd1b882c7414d402b0df9205e9ef73774729','XhmikosR','2013-10-15','False'
'testproject','0cd1e8d12085642d2b732bf896f161a18d4dca98','Artur Termenji','2013-10-07','False'
'testproject','015e7fb27e08e8458326292897b692e6b1437300','justinmuller','2013-09-02','False'
'testproject','43e298d39f8302e8e9f3b967547925c0280841b8','justinmuller','2013-08-08','False'
'testproject','8fd605af422d874401e300fec02b55c9b7193898','justinmuller','2013-08-08','False'
'testproject','498c32b6f4e9f382eb61374135b73662fc34f31a','Kevin Sawicki','2013-08-19','False'
'testproject','12d92424c192e01d79a22f60812dc069edcd99dd','Kevin Sawicki','2013-08-19','False'
'testproject','9e6a9f3d7daf143d0d1341d527ca2f0609ce63d3','Kevin Sawicki','2013-08-12','False'
'testproject','8b0278b5ac4d000944b3332246383727c877e667','Kevin Sawicki','2013-08-12','False'
'testproject','33dd82dce2ab9afe19addc8122a31ebb43b251d2','Kevin Sawicki','2013-08-12','False'
'testproject','aaee662813b2c258f555e3e2b17b3b0dcba56f6b','Kevin Sawicki','2013-08-12','False'
'testproject','f7989066cd9b049bdb8feea65acb9d1b5509bcc4','Artur Termenji','2013-03-09','False'
'testproject','a28ea550a643aa0831606c3e745d89c02de40b26','Artur Termenji','2013-03-09','False'
'testproject','852e83c8403ab6e7c917b3816c78b6275ac6aae1','Artur Termenji','2013-02-06','False'
'testproject','34c028cb02bcd5706f8303b865725e5b263d2861','Artur Termenji','2013-02-05','False'
'testproject','eb3f9ba1c59bcf6079c8af4eaff78615c47eaa0b','Artur Termenji','2013-02-02','False'
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','Artur Termenji','2013-02-02','False'
'testproject','c90ed9571a4dd3ad1d1b647b236e539fcb4982a3','Artur Termenji','2013-01-28','False'
'testproject','d0cea7c2ade744111050c915fb4b07665b6a9bea','Artur Termenji','2013-07-27','True'
'testproject','b60bc6fd3d733a7ec5cf662fc2bb2017f8b7923b','Artur Termenji','2013-03-31','False'
'testproject','719ebed483fff3ee0edb0ca64e7b8231dc02f582','Artur Termenji','2013-03-31','False'
'testproject','bd4742582fcec091301f9310b321d667b707e9de','justinmuller','2013-07-26','False'
'testproject','ce8c70989794647c5d74f3a6ac65a38d0db22988','Artur Termenji','2013-07-26','False'
